,colsample_bytree,eval_metric,val,metrics,subsample,eta,num_round,seed,max_depth,gamma,avg_score,score_std
0,1.0,auc,False,auc,1.0,0.001,5000.0,0.0,4.0,0.0,0.146004192212,0.00783487824105
1,1.0,auc,False,auc,1.0,0.001,5000.0,0.0,5.0,0.0,0.0833256028444,0.0235044134525
2,1.0,auc,False,auc,1.0,0.001,5000.0,0.0,6.0,0.0,0.0754907784259,0.015669589034
3,1.0,auc,False,auc,1.0,0.001,5000.0,999.0,4.0,0.0,0.130334546365,0.0235044164426
4,1.0,auc,False,auc,1.0,0.001,5000.0,999.0,5.0,0.0,0.0911604262661,0.0156695900307
5,1.0,auc,False,auc,1.0,0.001,5000.0,999.0,6.0,0.0,0.122499721946,0.0156695920242
6,1.0,auc,False,auc,0.9,0.001,5000.0,0.0,4.0,0.0,0.138169367793,0.0156697026595
7,1.0,auc,False,auc,0.9,0.001,5000.0,0.0,5.0,0.0,0.12249972095,5.58160293887e-08
8,1.0,auc,False,auc,0.9,0.001,5000.0,0.0,6.0,0.0,0.0911604252694,5.78094591572e-08
9,1.0,auc,False,auc,0.9,0.001,5000.0,999.0,4.0,0.0,0.146004191215,0.0235045260812
10,1.0,auc,False,auc,0.9,0.001,5000.0,999.0,5.0,0.0,0.130334544371,0.00783487923776
11,1.0,auc,False,auc,0.9,0.001,5000.0,999.0,6.0,0.0,0.122499719953,0.0156697036562
12,1.0,auc,False,auc,0.8,0.001,5000.0,0.0,4.0,0.0,0.114664896531,0.00783488023448
13,1.0,auc,False,auc,0.8,0.001,5000.0,0.0,5.0,0.0,0.13816936879,5.48193145322e-08
14,1.0,auc,False,auc,0.8,0.001,5000.0,0.0,6.0,0.0,0.122499718956,0.0313393514964
15,1.0,auc,False,auc,0.8,0.001,5000.0,999.0,4.0,0.0,0.161673841049,0.00783477059585
16,1.0,auc,False,auc,0.8,0.001,5000.0,999.0,5.0,0.0,0.106830074106,0.0156695910274
17,1.0,auc,False,auc,0.8,0.001,5000.0,999.0,6.0,0.0,0.0676559530108,0.00783488322462
18,1.0,auc,False,auc,0.7,0.001,5000.0,0.0,4.0,0.0,0.106830072113,0.0156697046529
19,1.0,auc,False,auc,0.7,0.001,5000.0,0.0,5.0,0.0,0.130334547362,0.0391740642828
20,1.0,auc,False,auc,0.7,0.001,5000.0,0.0,6.0,0.0,0.130334545368,0.00783476860242
21,1.0,auc,False,auc,0.7,0.001,5000.0,999.0,4.0,0.0,0.12249972095,5.58160295067e-08
22,1.0,auc,False,auc,0.7,0.001,5000.0,999.0,5.0,0.0,0.114664896531,0.00783488023448
23,1.0,auc,False,auc,0.7,0.001,5000.0,999.0,6.0,0.0,0.153839017627,0.0156695940176
24,1.0,auc,False,auc,0.6,0.001,5000.0,0.0,4.0,0.0,0.130334546365,0.0235044164426
25,1.0,auc,False,auc,0.6,0.001,5000.0,0.0,5.0,0.0,0.138169367793,0.0156697026595
26,1.0,auc,False,auc,0.6,0.001,5000.0,0.0,6.0,0.0,0.0911604242727,0.0156697056496
27,1.0,auc,False,auc,0.6,0.001,5000.0,999.0,4.0,0.0,0.138169369787,0.0156695930209
28,1.0,auc,False,auc,0.6,0.001,5000.0,999.0,5.0,0.0,0.130334543375,0.0235045270779
29,1.0,auc,False,auc,0.6,0.001,5000.0,999.0,6.0,0.0,0.138169369787,0.0156695930209
30,0.9,auc,False,auc,1.0,0.001,5000.0,0.0,4.0,0.0,0.0989952476944,0.0235045290714
